program_normalized_name	course_suffix	offerings_count
BACHELOR OF SCIENCE (FISHERIES AND NATURAL RESOURCES, WITH IT)	515	1
BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS)	190	10
BACHELOR OF SCIENCE (FOOD OPERATIONS MANAGEMENT)	353	1
BACHELOR OF SCIENCE (FOOD OPERATIONS MANAGEMENT)	639	1
BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION)	191	2
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)	124	10
BACHELOR OF SCIENCE (FOOD SCIENCE AND MANAGEMENT)	603	1
BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION)	191	1
BACHELOR OF SCIENCE (FORENSIC BIOLOGY)	811	1
BACHELOR OF SCIENCE (FORENSIC SCIENCE)	568	3
BACHELOR OF SCIENCE (FORESTRY)	330	3
BACHELOR OF SCIENCE (GEOGRAPHY AND NATURAL RESOURCE MANAGEMENT, WITH IT)	692	2
BACHELOR OF SCIENCE (GEOLOGY)	113	3
BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY)	579	1
BACHELOR OF SCIENCE (GEOPHYSICS)	377	1
BACHELOR OF SCIENCE (GEOSPATIAL INFORMATION SCIENCE)	719	4
BACHELOR OF SCIENCE (GEOSPATIAL INFORMATION SCIENCE, WITH IT)	819	1
BACHELOR OF SCIENCE (GRAPHIC, COMMUNICATION AND ADVERTISING)	500	1
BACHELOR OF SCIENCE (HEALTH PROMOTION)	436	1
BACHELOR OF SCIENCE (HEALTH PROMOTION)	618	1
BACHELOR OF SCIENCE (HEALTH RECORDS & INFORMATION MGT.)	543	6
BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)	185	14
BACHELOR OF SCIENCE (HOSPITALITY MANAGEMENT)	821	3
BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS)	405	7
BACHELOR OF SCIENCE (HYDROLOGY AND WATER RESOURCES MANAGEMENT)	487	1
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY WITH MANAGEMENT)	508	1
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	108	14
BACHELOR OF SCIENCE (INDUSTRIAL MATHEMATICS)	311	1
BACHELOR OF SCIENCE (INFORMATICS)	428	4
BACHELOR OF SCIENCE (INFORMATION SCIENCE)	150	12
BACHELOR OF SCIENCE (INFORMATION SYSTEMS)	612	2
BACHELOR OF SCIENCE (INSTRUMENTATION & CONTROL)	230	1
BACHELOR OF SCIENCE (INTEGRATED FOREST RESOURCES MANAGEMENT)	419	1
BACHELOR OF SCIENCE (LAND ADMINISTRATION)	371	1
BACHELOR OF SCIENCE (LAND RESOURCE PLANNING & MANAGEMENT)	351	2
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT)	184	1
BACHELOR OF SCIENCE (MANUFACTURING ENGINEERING & TECHNOLOGY)	211	1
BACHELOR OF SCIENCE (MARINE ENGINEERING)	140	1
BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	109	15
BACHELOR OF SCIENCE (MATHEMATICS & BUSINESS STUDIES, WITH IT)	609	2
BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)	309	14
BACHELOR OF SCIENCE (MATHEMATICS & ECONOMICS, WITH IT	588	7
BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING)	308	3
BACHELOR OF SCIENCE (MATHEMATICS WITH IT)	409	9
BACHELOR OF SCIENCE (MECHANICAL AND INDUSTRIAL ENGINEERING)	251	1
BACHELOR OF SCIENCE (MEDICAL BIOCHEMISTRY)	580	1
BACHELOR OF SCIENCE (MEDICAL BIOTECHNOLOGY, WITH IT)	591	3
BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY)	194	15
BACHELOR OF SCIENCE (MEDICAL MICROBIOLOGY)	281	2
BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)	495	2
BACHELOR OF SCIENCE (MEDICAL SOCIAL WORK)	478	2
BACHELOR OF SCIENCE (METEOROLOGY)	110	2
BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY)	278	3
BACHELOR OF SCIENCE (MICROBIOLOGY)	123	10
BACHELOR OF SCIENCE (MICROPROCESSOR TECHNOLOGY AND INSTRUMENTATION)	126	1
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING)	349	2
BACHELOR OF SCIENCE (MINING PHYSICS)	528	1
BACHELOR OF SCIENCE (MOLECULAR & CELLULAR BIOLOGY)	438	1
BACHELOR OF SCIENCE (NATURAL RESOURCE MANAGEMENT)	348	6
BACHELOR OF SCIENCE (NURSING, WITH IT)	132	33
BACHELOR OF SCIENCE (NUTRACEUTICAL SCIENCE AND TECHNOLOGY)	505	1
BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY)	196	4
BACHELOR OF SCIENCE (OPERATIONS RESEARCH)	533	1
BACHELOR OF SCIENCE (OPTOMETRY AND VISION SCIENCES)	597	2
BACHELOR OF SCIENCE (PARAMEDIC SCIENCE)	463	1
BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY)	576	1
BACHELOR OF SCIENCE (PETROLEUM ENGINEERING)	572	1
BACHELOR OF SCIENCE (PHYSICAL THERAPY)	561	2
BACHELOR OF SCIENCE (PHYSICS WITH APPROPRIATE TECHNOLOGY)	366	2
BACHELOR OF SCIENCE (PHYSICS)	366	12
BACHELOR OF SCIENCE (PHYSIOTHERAPY)	465	4
BACHELOR OF SCIENCE (POPULATION HEALTH)	566	4
